,importance,count
white_elo,0.8968054240410152,8686444
opening_Latvian Gambit Accepted,0.1982836433125487,4
opening_Danish Gambit Accepted,0.18870167908463234,5
opening_Blumenfeld Countergambit,0.14862855333011474,3
opening_Catalan Opening,0.14295646528481193,4
opening_Guatemala Defense,0.11903915791624052,2
opening_Neo-Gruenfeld Defense,0.11538718917175483,2
opening_Center Game Accepted,0.10696099300000861,2
opening_Semi-Bononi,0.10281685438384797,2
opening_Danish Gambit,0.10199027655453226,14
opening_Carr Defense,0.0963059955188684,2
opening_Hippopotamus Defense,0.08333760212400038,1
opening_Blackmar-Diemer Gambit Declined,0.07666280547400972,1
opening_Portuguese Opening,0.07197155786298225,1
opening_Old Indian,0.07042895112511088,1
opening_Hungarian Opening,0.06443299993960731,76
opening_Philidor Defense,0.06341530864205124,198
opening_Scotch Game,0.05665773459424338,73
opening_Horwitz Defense,0.05519603322036083,90
opening_St. George Defense,0.054214515512870286,9
opening_Barnes Defense,0.052249958986681846,8
opening_Semi-Slav Defense,0.047691381853771676,26
opening_Queen's Gambit Refused,0.046496324710417064,73
opening_Scandinavian Defense,0.04562986408711987,248
opening_Gruenfeld Defense,0.0406338777715907,6
opening_Indian Game,0.0386558468205388,76
opening_King's Pawn Game,0.0353533008203588,280
opening_Vienna Game,0.03523539934171279,50
opening_Queen's Pawn,0.033907083218558745,52
opening_Queen's Pawn Game,0.03233874723852436,361
opening_King's Gambit,0.03122564991928458,25
opening_Reti Opening,0.029701698785277817,9
opening_Slav Defense,0.02938838986533203,72
opening_Queen's Gambit Accepted,0.02828363382599941,65
opening_Bird Opening,0.027176879590460633,40
opening_Ponziani Opening,0.026820439592920117,12
opening_King's Gambit Declined,0.024745492893748607,33
opening_Owen Defense,0.024103974865278877,70
opening_Modern Defense,0.02263954958534074,125
opening_Polish Defense,0.021661906133067985,12
opening_Gedult's Opening,0.019456185172627503,14
opening_Queen's Gambit,0.018530583423887106,11
opening_King's Indian Defense,0.0178861450130217,26
opening_Saragossa Opening,0.017447514665249304,40
opening_Four Knights Game,0.016013454365727257,49
opening_King's Pawn Opening,0.015362073237926096,5
opening_Ware Defense,0.015183299597883686,2
opening_Three Knights Opening,0.014175265354713936,26
opening_Amazon Attack,0.01413112045579063,2
opening_King's Gambit Accepted,0.013845376726608308,54
opening_Mikenas Defense,0.012608897526148638,4
opening_Bishop's Opening,0.01259516837208595,128
opening_Nimzo-Indian Defense,0.011687116129492359,29
opening_Ruy Lopez,0.011453921424125872,126
opening_Danish Gambit Declined,0.01132523055655939,2
opening_Trompowsky Attack,0.009357411372319355,4
opening_Polish Opening,0.009318052565762262,23
opening_Queen's Indian Accelerated,0.007436045394450376,4
opening_Dutch Defense,0.007065274309890474,21
opening_King's Indian Attack,0.0052169813958894105,13
opening_Englund Gambit,0.004285396806036187,12
opening_Nimzo-Larsen Attack,0.0037320114924858762,51
opening_Petrov's Defense,0.0016817162082241903,16
opening_Zukertort Opening,0.0010946065510086846,80
opening_Nimzowitsch Defense,-0.00037726422668632497,77
opening_Russian Game,-0.0005220138721773836,44
opening_Ware Opening,-0.0010514939077471434,2
